anio,mun,Estratos,sexo,edad,total,total_low,total_upp,dim,NOMBRE
2015.0,3.0,Satisfaccion mínima,Mujer,No especificado,36.0,-326647086109000.0,752664708611000.0,NBI,Coyoacán
2015.0,3.0,Estrato medio,Hombre,60 y mas,24625.0,207285987458000.0,285214012542000.0,NBI,Coyoacán
2015.0,3.0,Estrato alto,Hombre,60 y mas,1994.0,120002124810000.0,278797875190000.0,NBI,Coyoacán
2015.0,3.0,Estrato alto,Mujer,12-29,79.0,-199333034110000.0,177933303411000.0,NBI,Coyoacán
2015.0,3.0,Estrato alto,Mujer,45-59,1139.0,774652479547000.0,150334752045000.0,NBI,Coyoacán
2015.0,3.0,Estrato alto,Mujer,60 y mas,1361.0,829829619830000.0,189217038017000.0,NBI,Coyoacán
2015.0,4.0,Pobreza muy alta,Hombre,No especificado,3.0,-209558564743000.0,809558564743000.0,NBI,Cuajimalpa de Morelos
2015.0,4.0,Pobreza muy alta,Mujer,30-44,1273.0,820151105371000.0,172584889463000.0,NBI,Cuajimalpa de Morelos
2015.0,4.0,Pobreza muy alta,Mujer,60 y mas,558.0,288062646821000.0,827937353179000.0,NBI,Cuajimalpa de Morelos
2015.0,4.0,Pobreza alta,Hombre,12-29,4968.0,353771455490000.0,639828544510000.0,NBI,Cuajimalpa de Morelos
2015.0,4.0,Pobreza alta,Mujer,0-11,2543.0,166947965566000.0,341652034434000.0,NBI,Cuajimalpa de Morelos
2015.0,4.0,Pobreza alta,Mujer,30-44,2775.0,18337766032300.0,37162233967700.0,NBI,Cuajimalpa de Morelos
2015.0,4.0,Pobreza alta,Mujer,45-59,1798.0,133647661556000.0,225952338444000.0,NBI,Cuajimalpa de Morelos
2015.0,4.0,Pobreza moderada,Hombre,0-11,8320.0,651096499372000.0,101290350063000.0,NBI,Cuajimalpa de Morelos
2015.0,4.0,Pobreza moderada,Hombre,12-29,12385.0,950660347866000.0,152633965213000.0,NBI,Cuajimalpa de Morelos
2015.0,4.0,Pobreza moderada,Hombre,60 y mas,2583.0,170082928421000.0,346517071579000.0,NBI,Cuajimalpa de Morelos
2015.0,4.0,Satisfaccion mínima,Hombre,12-29,3541.0,23575965185800.0,47244034814200.0,NBI,Cuajimalpa de Morelos
2015.0,4.0,Satisfaccion mínima,Mujer,60 y mas,1095.0,770922132938000.0,141907786706000.0,NBI,Cuajimalpa de Morelos
2015.0,4.0,Estrato medio,Hombre,12-29,6856.0,406235527312000.0,964964472688000.0,NBI,Cuajimalpa de Morelos
2015.0,4.0,Estrato medio,Hombre,30-44,7366.0,413594351291000.0,105960564871000.0,NBI,Cuajimalpa de Morelos
2015.0,4.0,Estrato medio,Hombre,45-59,6326.0,420909246415000.0,844290753585000.0,NBI,Cuajimalpa de Morelos
2015.0,4.0,Estrato medio,Mujer,12-29,7722.0,491635557968000.0,105276444203000.0,NBI,Cuajimalpa de Morelos
2015.0,4.0,Estrato alto,Hombre,30-44,178.0,-113795938155000.0,36737959381600.0,NBI,Cuajimalpa de Morelos
2015.0,4.0,Estrato alto,Mujer,12-29,28.0,-160152793197000.0,720152793197000.0,NBI,Cuajimalpa de Morelos
2015.0,5.0,Pobreza muy alta,Hombre,30-44,8331.0,656385475639000.0,100981452436000.0,NBI,Gustavo A. Madero
2015.0,5.0,Pobreza muy alta,Hombre,45-59,3252.0,243825981223000.0,406574018777000.0,NBI,Gustavo A. Madero
2015.0,5.0,Pobreza muy alta,Mujer,30-44,8488.0,695181773936000.0,100241822606000.0,NBI,Gustavo A. Madero
2015.0,5.0,Pobreza alta,Hombre,12-29,23509.0,197106180795000.0,273073819205000.0,NBI,Gustavo A. Madero
2015.0,5.0,Pobreza alta,Hombre,30-44,14634.0,11938231480300.0,17329768519700.0,NBI,Gustavo A. Madero
2015.0,5.0,Pobreza alta,Mujer,12-29,23714.0,200984194398000.0,273295805602000.0,NBI,Gustavo A. Madero
2015.0,5.0,Pobreza alta,Mujer,No especificado,50.0,-449271627437000.0,14492716274400.0,NBI,Gustavo A. Madero
2015.0,5.0,Pobreza moderada,Hombre,45-59,41195.0,362937994499000.0,460962005501000.0,NBI,Gustavo A. Madero
2015.0,5.0,Pobreza moderada,Hombre,60 y mas,26642.0,224503278752000.0,308336721248000.0,NBI,Gustavo A. Madero
2015.0,5.0,Pobreza moderada,Hombre,No especificado,201.0,-346800725382000.0,40546800725400.0,NBI,Gustavo A. Madero
2015.0,5.0,Pobreza moderada,Mujer,0-11,42451.0,366322151988000.0,482697848012000.0,NBI,Gustavo A. Madero
2015.0,5.0,Pobreza moderada,Mujer,60 y mas,36089.0,316144204739000.0,405635795261000.0,NBI,Gustavo A. Madero
2015.0,5.0,Pobreza moderada,Mujer,No especificado,104.0,-587189757179000.0,213871897572000.0,NBI,Gustavo A. Madero
2015.0,5.0,Satisfaccion mínima,Hombre,30-44,16155.0,139100179489000.0,183999820511000.0,NBI,Gustavo A. Madero
2015.0,5.0,Satisfaccion mínima,Mujer,60 y mas,17933.0,15542612897200.0,20323387102800.0,NBI,Gustavo A. Madero
2015.0,5.0,Estrato medio,Hombre,45-59,29922.0,260416442639000.0,338023557361000.0,NBI,Gustavo A. Madero
2015.0,5.0,Estrato medio,Hombre,No especificado,19.0,-156267724200000.0,536267724200000.0,NBI,Gustavo A. Madero
2015.0,5.0,Estrato medio,Mujer,0-11,12508.0,104991680534000.0,145168319466000.0,NBI,Gustavo A. Madero
2015.0,5.0,Estrato medio,Mujer,12-29,29608.0,257246150205000.0,334913849795000.0,NBI,Gustavo A. Madero
2015.0,5.0,Estrato medio,Mujer,45-59,39086.0,345367972776000.0,436352027224000.0,NBI,Gustavo A. Madero
2015.0,5.0,Estrato alto,Hombre,45-59,459.0,160709655646000.0,757290344354000.0,NBI,Gustavo A. Madero
2015.0,5.0,Estrato alto,Hombre,60 y mas,888.0,469091297821000.0,130690870218000.0,NBI,Gustavo A. Madero
2015.0,5.0,Estrato alto,Mujer,12-29,64.0,-173430342124000.0,145343034212000.0,NBI,Gustavo A. Madero
2015.0,6.0,Pobreza muy alta,Hombre,12-29,2479.0,11227468478200.0,38352531521800.0,NBI,Iztacalco
2015.0,6.0,Pobreza muy alta,Hombre,30-44,1429.0,694538784809000.0,216346121519000.0,NBI,Iztacalco
2015.0,6.0,Pobreza muy alta,Hombre,No especificado,94.0,-121280124618000.0,309280124618000.0,NBI,Iztacalco
2015.0,6.0,Pobreza muy alta,Mujer,45-59,821.0,361135118186000.0,1280864881810.0,NBI,Iztacalco
2015.0,6.0,Pobreza alta,Hombre,45-59,2696.0,184131305408000.0,355068694592000.0,NBI,Iztacalco
2015.0,6.0,Pobreza alta,Hombre,60 y mas,1483.0,861347207090000.0,210465279291000.0,NBI,Iztacalco
2015.0,6.0,Pobreza alta,Mujer,0-11,4172.0,288413298998000.0,545986701002000.0,NBI,Iztacalco
2015.0,6.0,Pobreza alta,Mujer,12-29,6798.0,484030327588000.0,875569672412000.0,NBI,Iztacalco
2015.0,6.0,Pobreza alta,Mujer,No especificado,171.0,-143118469180000.0,485118469180000.0,NBI,Iztacalco
2015.0,6.0,Pobreza moderada,Hombre,60 y mas,7454.0,572489763819000.0,918310236181000.0,NBI,Iztacalco
2015.0,6.0,Pobreza moderada,Mujer,12-29,25202.0,208837891510000.0,295202108490000.0,NBI,Iztacalco
2015.0,6.0,Pobreza moderada,Mujer,30-44,19650.0,165680768359000.0,227319231641000.0,NBI,Iztacalco
2015.0,6.0,Satisfaccion mínima,Hombre,12-29,8941.0,71213874193300.0,107606125807000.0,NBI,Iztacalco
2015.0,6.0,Satisfaccion mínima,Mujer,0-11,4058.0,273324748524000.0,538275251476000.0,NBI,Iztacalco
2015.0,6.0,Estrato medio,Hombre,0-11,4756.0,346720597076000.0,604479402924000.0,NBI,Iztacalco
2015.0,6.0,Estrato medio,Mujer,12-29,10501.0,866451790417000.0,123374820958000.0,NBI,Iztacalco
2015.0,6.0,Estrato medio,Mujer,No especificado,20.0,-401761701185000.0,801761701185000.0,NBI,Iztacalco
2015.0,6.0,Estrato alto,Hombre,12-29,9.0,-127538574266000.0,307538574266000.0,NBI,Iztacalco
2015.0,6.0,Estrato alto,Hombre,30-44,213.0,-527109607343000.0,431271096073000.0,NBI,Iztacalco
2015.0,6.0,Estrato alto,Mujer,60 y mas,175.0,603760868050000.0,289623913195000.0,NBI,Iztacalco
2015.0,7.0,Pobreza muy alta,Hombre,0-11,16179.0,129274839812000.0,194305160188000.0,NBI,Iztapalapa
2015.0,7.0,Pobreza muy alta,Hombre,45-59,7630.0,627632103467000.0,898367896533000.0,NBI,Iztapalapa
2015.0,7.0,Pobreza muy alta,Hombre,60 y mas,3759.0,281281948748000.0,470518051252000.0,NBI,Iztapalapa
2015.0,7.0,Pobreza muy alta,Hombre,No especificado,225.0,112028845238000.0,438797115476000.0,NBI,Iztapalapa
2015.0,7.0,Pobreza muy alta,Mujer,No especificado,170.0,-278754509247000.0,367875450925000.0,NBI,Iztapalapa
2015.0,7.0,Pobreza alta,Hombre,45-59,17210.0,149492284542000.0,194707715458000.0,NBI,Iztapalapa
2015.0,7.0,Pobreza alta,Mujer,0-11,34389.0,305510047181000.0,382269952819000.0,NBI,Iztapalapa
2015.0,7.0,Pobreza moderada,Hombre,45-59,64065.0,58627153489500.0,69502846510500.0,NBI,Iztapalapa
2015.0,7.0,Pobreza moderada,Hombre,No especificado,203.0,361060136795000.0,369893986320000.0,NBI,Iztapalapa
2015.0,7.0,Pobreza moderada,Mujer,0-11,73370.0,67775331522000.0,78964668478000.0,NBI,Iztapalapa
2015.0,7.0,Pobreza moderada,Mujer,45-59,78042.0,717399124036000.0,843440875964000.0,NBI,Iztapalapa
2015.0,7.0,Satisfaccion mínima,Hombre,0-11,16317.0,142073519987000.0,184266480013000.0,NBI,Iztapalapa
2015.0,7.0,Satisfaccion mínima,Hombre,12-29,30017.0,266071161514000.0,334268838486000.0,NBI,Iztapalapa
2015.0,7.0,Satisfaccion mínima,Hombre,30-44,21466.0,189745410619000.0,239574589381000.0,NBI,Iztapalapa
2015.0,7.0,Satisfaccion mínima,Mujer,0-11,16758.0,146759087794000.0,188400912206000.0,NBI,Iztapalapa
2015.0,7.0,Satisfaccion mínima,Mujer,12-29,31778.0,282919400725000.0,352640599275000.0,NBI,Iztapalapa
2015.0,7.0,Satisfaccion mínima,Mujer,No especificado,5.0,-652282659975000.0,16522826599700.0,NBI,Iztapalapa
2015.0,7.0,Estrato medio,Mujer,12-29,31255.0,272451500108000.0,352648499892000.0,NBI,Iztapalapa
2015.0,7.0,Estrato medio,Mujer,45-59,41358.0,358811039146000.0,468348960854000.0,NBI,Iztapalapa
2015.0,7.0,Estrato medio,Mujer,60 y mas,32658.0,27591297802900.0,37724702197100.0,NBI,Iztapalapa
2015.0,7.0,Estrato alto,Mujer,0-11,106.0,-268568773087000.0,238856877309000.0,NBI,Iztapalapa
2015.0,7.0,Estrato alto,Mujer,12-29,1.0,-139689961856000.0,339689961856000.0,NBI,Iztapalapa
2015.0,7.0,Estrato alto,Mujer,30-44,130.0,905359189027000.0,250946408110000.0,NBI,Iztapalapa
2015.0,8.0,Pobreza muy alta,Hombre,60 y mas,652.0,316640963821000.0,987359036179000.0,NBI,La Magdalena Contreras
2015.0,8.0,Pobreza muy alta,Mujer,0-11,1341.0,854471265024000.0,182752873498000.0,NBI,La Magdalena Contreras
2015.0,8.0,Pobreza muy alta,Mujer,12-29,3221.0,214698152505000.0,429501847495000.0,NBI,La Magdalena Contreras
2015.0,8.0,Pobreza muy alta,Mujer,30-44,2631.0,173174163313000.0,353025836687000.0,NBI,La Magdalena Contreras
2015.0,8.0,Pobreza muy alta,Mujer,45-59,1545.0,998165555720000.0,209183444428000.0,NBI,La Magdalena Contreras
2015.0,8.0,Pobreza alta,Hombre,12-29,6213.0,464319539785000.0,778280460215000.0,NBI,La Magdalena Contreras
2015.0,8.0,Pobreza alta,Mujer,0-11,4403.0,313131872604000.0,567468127396000.0,NBI,La Magdalena Contreras
2015.0,8.0,Pobreza alta,Mujer,45-59,2509.0,189054619903000.0,312745380097000.0,NBI,La Magdalena Contreras
2015.0,8.0,Pobreza alta,Mujer,60 y mas,1638.0,116446426929000.0,211153573071000.0,NBI,La Magdalena Contreras
2015.0,8.0,Pobreza moderada,Hombre,0-11,10645.0,844065769382000.0,128493423062000.0,NBI,La Magdalena Contreras
2015.0,8.0,Pobreza moderada,Hombre,12-29,16008.0,127682934906000.0,192477065094000.0,NBI,La Magdalena Contreras
2015.0,8.0,Pobreza moderada,Hombre,30-44,11846.0,942254164231000.0,142694583577000.0,NBI,La Magdalena Contreras
2015.0,8.0,Pobreza moderada,Hombre,60 y mas,5324.0,409258421783000.0,655541578217000.0,NBI,La Magdalena Contreras
2015.0,8.0,Pobreza moderada,Mujer,0-11,10021.0,778222940731000.0,122597705927000.0,NBI,La Magdalena Contreras
2015.0,8.0,Pobreza moderada,Mujer,45-59,9733.0,767034158224000.0,117956584178000.0,NBI,La Magdalena Contreras
2015.0,8.0,Pobreza moderada,Mujer,60 y mas,6008.0,498644605591000.0,702955394409000.0,NBI,La Magdalena Contreras
2015.0,8.0,Satisfaccion mínima,Hombre,30-44,2508.0,177579091464000.0,324020908536000.0,NBI,La Magdalena Contreras
2015.0,8.0,Satisfaccion mínima,Mujer,0-11,2005.0,14248963772200.0,25851036227800.0,NBI,La Magdalena Contreras
2015.0,8.0,Estrato medio,Hombre,0-11,2561.0,177867271392000.0,334332728608000.0,NBI,La Magdalena Contreras
2015.0,8.0,Estrato medio,Hombre,45-59,5277.0,434274930079000.0,621125069921000.0,NBI,La Magdalena Contreras
2015.0,8.0,Estrato medio,Hombre,60 y mas,4427.0,330602929641000.0,554797070359000.0,NBI,La Magdalena Contreras
2015.0,8.0,Estrato medio,Mujer,12-29,4793.0,366337016361000.0,592262983639000.0,NBI,La Magdalena Contreras
2015.0,8.0,Estrato alto,Hombre,30-44,29.0,-19138517302200.0,77138517302200.0,NBI,La Magdalena Contreras
2015.0,8.0,Estrato alto,Hombre,60 y mas,282.0,100864061944000.0,463135938056000.0,NBI,La Magdalena Contreras
2015.0,8.0,Estrato alto,Mujer,12-29,10.0,-588472172443000.0,258847217244000.0,NBI,La Magdalena Contreras
2015.0,8.0,Estrato alto,Mujer,45-59,168.0,254894166372000.0,310510583363000.0,NBI,La Magdalena Contreras
2015.0,9.0,Pobreza muy alta,Hombre,12-29,3041.0,205860864064000.0,402339135936000.0,NBI,Milpa Alta
2015.0,9.0,Pobreza muy alta,Mujer,0-11,1745.0,116526576434000.0,232473423566000.0,NBI,Milpa Alta
2015.0,9.0,Pobreza alta,Hombre,30-44,3829.0,266729644037000.0,499070355963000.0,NBI,Milpa Alta
2015.0,9.0,Pobreza alta,Hombre,45-59,1994.0,129863142234000.0,268936857766000.0,NBI,Milpa Alta
2015.0,9.0,Pobreza alta,Mujer,30-44,4028.0,264028140849000.0,541571859151000.0,NBI,Milpa Alta
2015.0,9.0,Pobreza moderada,Mujer,12-29,10171.0,676866236939000.0,135733376306000.0,NBI,Milpa Alta
2015.0,9.0,Estrato medio,Hombre,0-11,589.0,272443342716000.0,905556657284000.0,NBI,Milpa Alta
2015.0,9.0,Estrato medio,Hombre,45-59,1221.0,796678266450000.0,164532173355000.0,NBI,Milpa Alta
2015.0,9.0,Estrato alto,Mujer,60 y mas,7.0,-788912232916000.0,218891223292000.0,NBI,Milpa Alta
2015.0,10.0,Pobreza muy alta,Hombre,30-44,5088.0,365062155213000.0,652537844787000.0,NBI,Álvaro Obregón
2015.0,10.0,Pobreza muy alta,Hombre,45-59,2530.0,163776220032000.0,342223779968000.0,NBI,Álvaro Obregón
2015.0,10.0,Pobreza muy alta,Hombre,No especificado,3.0,-324622436124000.0,924622436124000.0,NBI,Álvaro Obregón
2015.0,10.0,Pobreza muy alta,Mujer,12-29,5893.0,453077636911000.0,725522363089000.0,NBI,Álvaro Obregón
2015.0,10.0,Pobreza muy alta,Mujer,30-44,4732.0,327323846933000.0,619076153067000.0,NBI,Álvaro Obregón
2015.0,10.0,Pobreza muy alta,Mujer,45-59,3029.0,204331750584000.0,401468249416000.0,NBI,Álvaro Obregón
2015.0,10.0,Pobreza alta,Hombre,0-11,10314.0,848021333889000.0,121477866611000.0,NBI,Álvaro Obregón
2015.0,10.0,Pobreza alta,Mujer,30-44,12174.0,970210771864000.0,146458922814000.0,NBI,Álvaro Obregón
2015.0,10.0,Pobreza alta,Mujer,45-59,6281.0,458789102269000.0,797410897731000.0,NBI,Álvaro Obregón
2015.0,10.0,Pobreza alta,Mujer,60 y mas,4393.0,330552089985000.0,548047910015000.0,NBI,Álvaro Obregón
2015.0,10.0,Pobreza alta,Mujer,No especificado,72.0,-357983650302000.0,179798365030000.0,NBI,Álvaro Obregón
2015.0,10.0,Pobreza moderada,Hombre,0-11,26950.0,230907843651000.0,308092156349000.0,NBI,Álvaro Obregón
2015.0,10.0,Pobreza moderada,Hombre,30-44,36689.0,311721626084000.0,422058373916000.0,NBI,Álvaro Obregón
2015.0,10.0,Pobreza moderada,Mujer,12-29,46215.0,400651323116000.0,523648676884000.0,NBI,Álvaro Obregón
2015.0,10.0,Pobreza moderada,Mujer,30-44,39016.0,333915582609000.0,446404417391000.0,NBI,Álvaro Obregón
2015.0,10.0,Pobreza moderada,Mujer,45-59,29397.0,254189695623000.0,333750304377000.0,NBI,Álvaro Obregón
2015.0,10.0,Satisfaccion mínima,Hombre,45-59,8277.0,707043502182000.0,948356497818000.0,NBI,Álvaro Obregón
2015.0,10.0,Satisfaccion mínima,Hombre,60 y mas,7020.0,587667326573000.0,816332673427000.0,NBI,Álvaro Obregón
2015.0,10.0,Satisfaccion mínima,Mujer,30-44,11986.0,105060078072000.0,134659921928000.0,NBI,Álvaro Obregón
2015.0,10.0,Satisfaccion mínima,Mujer,60 y mas,8221.0,685660205280000.0,958539794720000.0,NBI,Álvaro Obregón
2015.0,10.0,Estrato medio,Hombre,30-44,21969.0,167035198814000.0,272344801186000.0,NBI,Álvaro Obregón
2015.0,10.0,Estrato medio,Hombre,60 y mas,17603.0,146252394012000.0,205807605988000.0,NBI,Álvaro Obregón
2015.0,10.0,Estrato medio,Mujer,12-29,19443.0,141851528415000.0,247008471585000.0,NBI,Álvaro Obregón
2015.0,10.0,Estrato medio,Mujer,30-44,23825.0,178046211810000.0,298453788190000.0,NBI,Álvaro Obregón
2015.0,10.0,Estrato medio,Mujer,45-59,22398.0,178697703854000.0,269262296146000.0,NBI,Álvaro Obregón
2015.0,10.0,Estrato medio,Mujer,No especificado,7.0,-126464744126000.0,266464744126000.0,NBI,Álvaro Obregón
2015.0,10.0,Estrato alto,Hombre,0-11,15.0,-823252776119000.0,382325277612000.0,NBI,Álvaro Obregón
2015.0,10.0,Estrato alto,Hombre,45-59,617.0,23516182622900.0,99883817377100.0,NBI,Álvaro Obregón
2015.0,11.0,Pobreza muy alta,Hombre,0-11,2509.0,179683119169000.0,322116880831000.0,NBI,Tláhuac
2015.0,11.0,Pobreza muy alta,Hombre,12-29,4018.0,292101174120000.0,511498825880000.0,NBI,Tláhuac
2015.0,11.0,Pobreza muy alta,Mujer,12-29,3518.0,250070439428000.0,453529560572000.0,NBI,Tláhuac
2015.0,11.0,Pobreza muy alta,Mujer,30-44,2759.0,206704690388000.0,345095309612000.0,NBI,Tláhuac
2015.0,11.0,Pobreza muy alta,Mujer,No especificado,42.0,-162774320000000.0,100277432000000.0,NBI,Tláhuac
2015.0,11.0,Pobreza alta,Hombre,45-59,3050.0,20928438828100.0,40071561171900.0,NBI,Tláhuac
2015.0,11.0,Pobreza alta,Hombre,No especificado,28.0,-141416987772000.0,701416987772000.0,NBI,Tláhuac
2015.0,11.0,Pobreza alta,Mujer,0-11,7059.0,56305087270200.0,84874912729800.0,NBI,Tláhuac
2015.0,11.0,Pobreza alta,Mujer,12-29,10585.0,850328591385000.0,126667140861000.0,NBI,Tláhuac
2015.0,11.0,Pobreza moderada,Hombre,0-11,15853.0,132941706683000.0,184118293317000.0,NBI,Tláhuac
2015.0,11.0,Pobreza moderada,Hombre,45-59,12915.0,108120201569000.0,150179798431000.0,NBI,Tláhuac
2015.0,11.0,Pobreza moderada,Mujer,0-11,16641.0,136035713151000.0,196784286849000.0,NBI,Tláhuac
2015.0,11.0,Pobreza moderada,Mujer,12-29,27900.0,238617073645000.0,319382926355000.0,NBI,Tláhuac
2015.0,11.0,Pobreza moderada,Mujer,60 y mas,8834.0,68726864653100.0,107953135347000.0,NBI,Tláhuac
2015.0,11.0,Satisfaccion mínima,Hombre,30-44,5176.0,398623671828000.0,636576328172000.0,NBI,Tláhuac
2015.0,11.0,Satisfaccion mínima,Hombre,60 y mas,2895.0,209925767556000.0,369074232444000.0,NBI,Tláhuac
2015.0,11.0,Satisfaccion mínima,Mujer,12-29,7490.0,596556809910000.0,901443190090000.0,NBI,Tláhuac
2015.0,11.0,Estrato medio,Hombre,12-29,6512.0,516303551548000.0,786096448452000.0,NBI,Tláhuac
2015.0,11.0,Estrato medio,Hombre,30-44,5514.0,462220942573000.0,640579057427000.0,NBI,Tláhuac
2015.0,11.0,Estrato medio,Hombre,60 y mas,3790.0,311959091291000.0,446040908709000.0,NBI,Tláhuac
2015.0,11.0,Estrato medio,Mujer,0-11,2919.0,204193533664000.0,379606466336000.0,NBI,Tláhuac
2015.0,11.0,Estrato medio,Mujer,30-44,6638.0,551173835389000.0,776426164611000.0,NBI,Tláhuac
2015.0,11.0,Estrato alto,Hombre,45-59,27.0,-442040085210000.0,982040085210000.0,NBI,Tláhuac
2015.0,11.0,Estrato alto,Hombre,60 y mas,21.0,-335464156959000.0,755464156959000.0,NBI,Tláhuac
2015.0,11.0,Estrato alto,Mujer,0-11,42.0,-617716414086000.0,145771641409000.0,NBI,Tláhuac
2015.0,12.0,Pobreza muy alta,Hombre,30-44,7730.0,585743535575000.0,960256464425000.0,NBI,Tlalpan
2015.0,12.0,Pobreza muy alta,Hombre,45-59,2849.0,191116977773000.0,378683022227000.0,NBI,Tlalpan
2015.0,12.0,Pobreza muy alta,Hombre,60 y mas,1504.0,110785757767000.0,190014242233000.0,NBI,Tlalpan
2015.0,12.0,Pobreza muy alta,Mujer,12-29,9410.0,696743777116000.0,118525622288000.0,NBI,Tlalpan
2015.0,12.0,Pobreza muy alta,Mujer,45-59,3830.0,275664728860000.0,490335271140000.0,NBI,Tlalpan
2015.0,12.0,Pobreza muy alta,Mujer,60 y mas,2307.0,167448680922000.0,293951319078000.0,NBI,Tlalpan
2015.0,12.0,Pobreza alta,Mujer,0-11,12109.0,961771628422000.0,146002837158000.0,NBI,Tlalpan
2015.0,12.0,Pobreza alta,Mujer,12-29,16912.0,136888618536000.0,201351381464000.0,NBI,Tlalpan
2015.0,12.0,Pobreza moderada,Hombre,45-59,19933.0,176495934091000.0,222164065909000.0,NBI,Tlalpan
2015.0,12.0,Pobreza moderada,Hombre,60 y mas,10985.0,947727514424000.0,124927248558000.0,NBI,Tlalpan
2015.0,12.0,Pobreza moderada,Mujer,12-29,39064.0,343680170875000.0,437599829125000.0,NBI,Tlalpan
